Year,Leage,Team,Park,FirstGame,LastGame,Games,Openings,Attendance
1894,NL,PHI,PHI14,1894-08-18,1894-09-06,22,17,72722
1894,NL,PIT,PIT05,1894-05-03,1894-09-29,75,65,161684
1894,NL,SLN,STL05,1894-04-19,1894-09-30,66,54,173072
1894,NL,WAS,WAS06,1894-04-19,1894-09-06,62,45,103069
1895,NL,BLN,BAL07,1895-04-18,1895-09-26,67,1,14000
1895,NL,BRO,NYC11,1895-05-01,1895-09-25,67,1,15000
1895,NL,BSN,BOS05,1895-04-19,1895-09-21,68,1,15000
1895,NL,CHN,CHI08,1895-05-02,1895-09-29,67,0,0
1895,NL,CIN,CIN05,1895-04-18,1895-09-21,65,1,17000
1895,NL,CL4,CLE05,1895-05-01,1895-09-21,62,0,0
1895,NL,LS3,LOU03,1895-04-18,1895-09-29,59,1,5000
1895,NL,NY1,NYC10,1895-04-18,1895-09-30,67,2,20400
1895,NL,PHI,PHI09,1895-05-02,1895-09-30,73,2,21000
1895,NL,PIT,PIT05,1895-05-01,1895-09-18,67,0,0
1895,NL,SLN,STL05,1895-04-18,1895-09-28,68,1,6000
1895,NL,WAS,WAS06,1895-04-20,1895-09-30,69,2,5200
1896,NL,BLN,BAL07,1896-04-16,1896-09-22,67,0,0
1896,NL,BRO,NYC11,1896-04-29,1896-09-22,65,0,0
1896,NL,BSN,BOS05,1896-04-20,1896-09-07,67,0,0
1896,NL,CHN,CHI08,1896-04-30,1896-08-13,68,0,0
1896,NL,CIN,CIN05,1896-04-16,1896-09-20,66,0,0
1896,NL,CL4,CLE05,1896-05-02,1896-09-26,64,0,0
1896,NL,LS3,LOU03,1896-04-16,1896-09-15,64,0,0
1896,NL,NY1,NYC10,1896-04-21,1896-09-26,66,0,0
1896,NL,PHI,PHI09,1896-04-16,1896-09-26,69,0,0
1896,NL,PIT,PIT05,1896-04-21,1896-09-21,66,0,0
1896,NL,SLN,STL05,1896-04-16,1896-09-26,62,0,0
1896,NL,WAS,WAS06,1896-04-16,1896-09-26,68,0,0
1897,NL,BLN,BAL07,1897-04-22,1897-10-02,69,1,25000
1897,NL,BRO,NYC11,1897-05-03,1897-10-02,70,0,0
1897,NL,BSN,BOS05,1897-04-19,1897-09-22,67,1,14500
1897,NL,CHN,CHI08,1897-05-04,1897-09-19,67,0,0
1897,NL,CIN,CIN05,1897-04-22,1897-09-19,68,2,29000
1897,NL,CL4,CLE05,1897-05-03,1897-09-26,65,0,0
1897,NL,LS3,LOU03,1897-04-22,1897-10-03,68,1,10000
1897,NL,NY1,NYC10,1897-04-26,1897-10-02,76,2,30000
1897,NL,PHI,PHI09,1897-04-22,1897-09-22,67,0,0
1897,NL,PIT,PIT05,1897-05-03,1897-10-02,65,0,0
1897,NL,SLN,STL05,1897-04-22,1897-10-03,61,1,10000
1897,NL,WAS,WAS06,1897-04-22,1897-09-14,68,0,0
1898,NL,BLN,BAL07,1898-04-16,1898-10-15,76,0,0
1898,NL,BRO,NYC12,1898-04-30,1898-10-12,72,0,0
1898,NL,BRO,WNY01,1898-09-18,1898-10-02,2,1,2000
1898,NL,BSN,BOS05,1898-04-19,1898-10-04,79,0,0
1898,NL,CHN,CHI08,1898-04-29,1898-10-09,89,0,0
1898,NL,CIN,CIN05,1898-04-15,1898-10-09,89,0,0
1898,NL,CL4,CHI08,1898-10-08,1898-10-08,1,0,0
1898,NL,CL4,CLE05,1898-04-29,1898-08-26,40,0,0
1898,NL,CL4,CLL01,1898-06-12,1898-06-19,2,0,0
1898,NL,CL4,PHI09,1898-07-29,1898-08-11,9,0,0
1898,NL,CL4,ROC02,1898-08-27,1898-08-29,2,0,0
1898,NL,CL4,ROC03,1898-08-28,1898-08-28,1,0,0
1898,NL,CL4,STL05,1898-09-28,1898-09-29,2,0,0
1898,NL,LS3,LOU03,1898-04-15,1898-10-15,79,1,5000
1898,NL,NY1,NYC10,1898-04-16,1898-10-15,75,0,0
1898,NL,NY1,WNY01,1898-09-11,1898-09-11,1,0,0
1898,NL,PHI,PHI09,1898-04-16,1898-10-15,81,0,0
1898,NL,PIT,PIT05,1898-04-29,1898-10-13,75,0,0
1898,NL,SLN,STL05,1898-04-15,1898-10-07,66,0,0
1898,NL,WAS,WAS06,1898-04-18,1898-10-12,80,0,0
1899,NL,BLN,BAL07,1899-04-15,1899-10-10,77,0,0
1899,NL,BRO,NYC12,1899-04-15,1899-10-14,78,0,0
1899,NL,BSN,BOS05,1899-04-19,1899-10-14,80,1,15000
1899,NL,CHN,CHI08,1899-04-27,1899-10-15,85,0,0
1899,NL,CIN,CIN05,1899-04-15,1899-10-15,88,0,0
1899,NL,CL4,CLE05,1899-05-01,1899-08-30,41,0,0
1899,NL,CL4,STL05,1899-09-24,1899-09-24,1,0,0
1899,NL,LS3,LOU03,1899-04-14,1899-08-02,51,0,0
1899,NL,LS3,LOU04,1899-08-22,1899-09-02,12,0,0
1899,NL,NY1,NYC10,1899-04-20,1899-10-11,72,0,0
1899,NL,NY1,WNY01,1899-06-04,1899-09-17,4,0,0
1899,NL,PHI,PHI09,1899-04-14,1899-10-10,83,1,12000
1899,NL,PIT,PIT05,1899-04-28,1899-10-14,85,1,6000
1899,NL,SLN,STL05,1899-04-15,1899-10-09,87,1,15000
1899,NL,WAS,WAS06,1899-04-18,1899-10-14,79,0,0
1900,NL,BRO,NYC12,4/21/1900,10/12/1900,73,4,37700
1900,NL,BSN,BOS05,4/19/1900,10/4/1900,73,11,43800
1900,NL,CHN,CHI08,4/27/1900,10/8/1900,77,5,23250
1900,NL,CIN,CIN05,4/19/1900,10/5/1900,63,3,18500
1900,NL,NY1,NYC10,4/19/1900,10/13/1900,71,6,50800
1900,NL,PHI,PHI09,4/20/1900,10/13/1900,70,5,51779
1900,NL,PIT,PIT05,4/26/1900,10/13/1900,70,2,15100
1900,NL,SLN,STL05,4/19/1900,10/14/1900,72,5,48000
1901,AL,BLA,BAL09,4/26/1901,9/28/1901,66,0,0
1901,AL,BOS,BOS06,5/8/1901,9/28/1901,69,0,0
1901,NL,BRO,NYC12,4/19/1901,10/5/1901,68,3,20800
1901,NL,BSN,BOS05,4/19/1901,9/14/1901,70,1,2500
1901,AL,CHA,CHI09,4/24/1901,9/15/1901,71,3,16700
1901,NL,CHN,CHI08,4/26/1901,10/6/1901,70,0,0
1901,NL,CIN,CIN05,4/20/1901,10/6/1901,72,0,0
1901,AL,CLE,CLE05,4/29/1901,9/13/1901,69,3,12655
1901,AL,DET,DET02,4/25/1901,9/14/1901,57,2,15948
1901,AL,DET,DET03,4/28/1901,9/15/1901,13,0,0
1901,AL,MLA,MIL04,5/3/1901,9/12/1901,70,2,6000
1901,NL,NY1,NYC10,4/26/1901,9/16/1901,71,2,31000
1901,AL,PHA,PHI10,4/26/1901,9/28/1901,66,0,0
1901,NL,PHI,PHI09,4/18/1901,10/5/1901,69,1,20000
1901,NL,PIT,PIT05,4/27/1901,10/2/1901,69,0,0
1901,NL,SLN,STL05,4/19/1901,9/30/1901,72,0,0
1901,AL,WS1,WAS07,4/29/1901,9/27/1901,68,1,8000
1902,AL,BLA,BAL09,4/23/1902,9/29/1902,64,0,0
1902,AL,BOS,BOS06,4/19/1902,9/18/1902,71,0,0
1902,NL,BRO,NYC12,4/17/1902,9/30/1902,69,0,0
1902,NL,BSN,BOS05,4/19/1902,10/4/1902,72,0,0
1902,AL,CHA,CHI09,4/23/1902,9/25/1902,72,0,0
1902,NL,CHN,CHI08,4/21/1902,9/28/1902,72,0,0
1902,NL,CIN,CIN06,4/17/1902,9/28/1902,70,0,0
1902,AL,CLE,CAN01,6/15/1902,6/15/1902,1,0,0
1902,AL,CLE,CLE05,5/6/1902,9/23/1902,60,0,0
1902,AL,CLE,COL03,8/3/1902,8/3/1902,1,0,0
1902,AL,CLE,DAY01,6/8/1902,6/8/1902,1,0,0
1902,AL,CLE,FOR03,6/22/1902,8/31/1902,2,0,0
1902,AL,DET,DET02,5/1/1902,9/27/1902,57,0,0
1902,AL,DET,DET03,5/4/1902,9/7/1902,10,0,0
1902,NL,NY1,NYC10,4/17/1902,9/29/1902,71,0,0
1902,AL,PHA,PHI10,5/2/1902,9/24/1902,73,0,0
1902,NL,PHI,PHI09,4/18/1902,10/3/1902,69,0,0
1902,NL,PIT,PIT05,4/22/1902,10/4/1902,71,0,0
1902,AL,SLA,STL06,4/23/1902,9/28/1902,73,0,0
1902,NL,SLN,STL05,4/17/1902,10/5/1902,70,0,0
1902,AL,WS1,WAS07,4/23/1902,9/27/1902,68,0,0
1903,AL,BOS,BOS06,4/20/1903,9/28/1903,70,0,0
1903,NL,BRO,NYC12,4/21/1903,9/9/1903,73,0,0
1903,NL,BSN,BOS05,4/20/1903,9/8/1903,67,0,0
1903,NL,BSN,WAR01,9/6/1903,9/6/1903,1,0,0
1903,AL,CHA,CHI09,5/1/1903,9/6/1903,70,0,0
1903,NL,CHN,CHI08,4/22/1903,9/27/1903,73,0,0
1903,NL,CIN,CIN06,4/16/1903,9/27/1903,76,0,0
1903,AL,CLE,CAN01,5/10/1903,6/21/1903,2,0,0
1903,AL,CLE,CLE05,4/28/1903,9/12/1903,71,0,0
1903,AL,CLE,COL03,5/17/1903,5/17/1903,1,0,0
1903,AL,DET,DET02,4/22/1903,9/14/1903,62,0,0
1903,AL,DET,GRA01,5/24/1903,5/24/1903,1,0,0
1903,AL,DET,TOL04,6/28/1903,8/16/1903,2,0,0
1903,NL,NY1,NYC10,4/17/1903,9/8/1903,70,0,0
1903,AL,NYA,NYC13,4/30/1903,9/29/1903,67,0,0
1903,AL,PHA,PHI10,4/22/1903,9/29/1903,67,0,0
1903,NL,PHI,PHI09,4/17/1903,8/8/1903,45,0,0
1903,NL,PHI,PHI10,8/20/1903,9/10/1903,16,0,0
1903,NL,PIT,PIT05,4/21/1903,9/26/1903,70,0,0
1903,AL,SLA,STL06,4/22/1903,9/13/1903,70,0,0
1903,NL,SLN,STL05,4/16/1903,9/27/1903,69,0,0
1903,AL,WS1,WAS07,4/22/1903,9/28/1903,71,0,0
1904,AL,BOS,BOS06,4/18/1904,10/8/1904,81,0,0
1904,NL,BRO,NYC12,4/14/1904,10/8/1904,76,0,0
1904,NL,BSN,BOS05,4/21/1904,10/5/1904,79,0,0
1904,AL,CHA,CHI09,4/14/1904,10/9/1904,78,0,0
1904,NL,CHN,CHI08,4/21/1904,10/9/1904,78,0,0
1904,NL,CIN,CIN06,4/14/1904,9/13/1904,79,0,0
1904,AL,CLE,CLE05,4/22/1904,10/6/1904,78,0,0
1904,AL,DET,DET02,4/22/1904,10/8/1904,79,0,0
1904,NL,NY1,NYC10,4/21/1904,10/4/1904,84,0,0
1904,AL,NYA,NWK01,7/17/1904,7/17/1904,1,0,0
1904,AL,NYA,NYC13,4/14/1904,10/10/1904,74,0,0
1904,AL,PHA,PHI10,4/21/1904,9/16/1904,79,0,0
1904,NL,PHI,PHI09,4/14/1904,10/8/1904,73,0,0
1904,NL,PIT,PIT05,4/21/1904,10/8/1904,78,0,0
1904,AL,SLA,STL06,4/14/1904,10/5/1904,78,0,0
1904,NL,SLN,STL05,4/15/1904,10/9/1904,76,0,0
1904,AL,WS1,WAS08,4/14/1904,10/10/1904,78,0,0
1905,AL,BOS,BOS06,4/21/1905,10/7/1905,77,0,0
1905,NL,BRO,NYC12,4/14/1905,10/7/1905,77,0,0
1905,NL,BSN,BOS05,4/18/1905,9/20/1905,76,0,0
1905,AL,CHA,CHI09,4/14/1905,9/17/1905,82,0,0
1905,NL,CHN,CHI08,4/19/1905,10/8/1905,81,0,0
1905,NL,CIN,CIN06,4/14/1905,10/8/1905,79,0,0
1905,AL,CLE,CLE05,4/15/1905,10/7/1905,77,0,0
1905,AL,DET,COL04,7/23/1905,7/24/1905,2,0,0
1905,AL,DET,DET02,4/19/1905,9/16/1905,74,0,0
1905,NL,NY1,NYC10,4/14/1905,10/7/1905,76,0,0
1905,AL,NYA,NYC13,4/22/1905,10/3/1905,75,0,0
1905,AL,PHA,PHI10,4/14/1905,10/4/1905,74,0,0
1905,NL,PHI,PHI09,4/22/1905,9/20/1905,76,0,0
1905,NL,PIT,PIT05,4/19/1905,10/7/1905,78,0,0
1905,AL,SLA,STL06,4/19/1905,10/8/1905,79,0,0
1905,NL,SLN,STL05,4/14/1905,10/3/1905,77,0,0
1905,AL,WS1,WAS08,4/14/1905,10/7/1905,77,0,0
1906,AL,BOS,BOS06,4/17/1906,10/6/1906,77,2,11156
1906,NL,BRO,NYC12,4/12/1906,10/2/1906,76,8,57500
1906,NL,BSN,BOS05,4/20/1906,10/4/1906,76,5,11333
1906,AL,CHA,CHI09,4/20/1906,10/7/1906,79,13,140297
1906,NL,CHN,CHI08,4/17/1906,9/16/1906,79,13,118000
1906,NL,CIN,CIN06,4/12/1906,10/7/1906,78,4,16000
1906,AL,CLE,CLE05,4/30/1906,10/3/1906,79,1,11081
1906,AL,DET,DET02,4/17/1906,9/28/1906,78,1,317
1906,NL,NY1,NYC10,4/20/1906,10/5/1906,75,10,104450
1906,AL,NYA,NYC13,4/14/1906,9/12/1906,76,5,44500
1906,AL,PHA,PHI10,4/18/1906,10/3/1906,73,6,74970
1906,NL,PHI,PHI09,4/12/1906,10/1/1906,77,1,4582
1906,NL,PIT,PIT05,4/17/1906,10/4/1906,77,7,79717
1906,AL,SLA,STL06,4/17/1906,10/7/1906,76,3,20800
1906,NL,SLN,STL05,4/12/1906,10/7/1906,77,2,25000
1906,AL,WS1,WAS08,4/14/1906,10/3/1906,75,6,26933
1907,AL,BOS,BOS06,4/16/1907,10/3/1907,78,0,0
1907,NL,BRO,NYC12,4/16/1907,9/17/1907,77,0,0
1907,NL,BSN,BOS05,4/12/1907,10/5/1907,74,0,0
1907,AL,CHA,CHI09,4/18/1907,10/6/1907,79,0,0
1907,NL,CHN,CHI08,4/11/1907,10/2/1907,76,0,0
1907,NL,CIN,CIN06,4/11/1907,10/6/1907,81,0,0
1907,AL,CLE,CLE05,4/18/1907,9/19/1907,82,0,0
1907,AL,DET,DET02,4/11/1907,9/18/1907,79,0,0
1907,NL,NY1,NYC10,4/11/1907,9/10/1907,77,0,0
1907,AL,NYA,NYC13,4/16/1907,10/5/1907,75,0,0
1907,AL,PHA,PHI10,4/11/1907,10/3/1907,73,0,0
1907,NL,PHI,PHI09,4/16/1907,10/5/1907,75,0,0
1907,NL,PIT,PIT05,4/17/1907,10/3/1907,77,0,0
1907,AL,SLA,STL06,4/11/1907,10/6/1907,76,0,0
1907,NL,SLN,STL05,4/19/1907,10/6/1907,79,0,0
1907,AL,WS1,WAS08,4/11/1907,10/5/1907,75,0,0
1908,AL,BOS,BOS06,4/14/1908,10/7/1908,77,4,32063
1908,NL,BRO,NYC12,4/14/1908,10/3/1908,77,1,17500
1908,NL,BSN,BOS05,4/22/1908,9/30/1908,78,1,5224
1908,AL,CHA,CHI09,4/14/1908,10/6/1908,78,0,0
1908,NL,CHN,CHI08,4/22/1908,10/4/1908,78,0,0
1908,NL,CIN,CIN06,4/14/1908,10/4/1908,77,2,20157
1908,AL,CLE,CLE05,4/14/1908,10/3/1908,78,0,0
1908,AL,DET,DET02,4/17/1908,10/3/1908,78,0,0
1908,NL,NY1,NYC10,4/22/1908,10/8/1908,80,0,0
1908,AL,NYA,NYC13,4/14/1908,10/3/1908,77,0,0
1908,AL,PHA,PHI10,4/22/1908,10/3/1908,78,3,9611
1908,NL,PHI,PHI09,4/14/1908,10/7/1908,78,0,0
1908,NL,PIT,PIT05,4/22/1908,9/30/1908,77,0,0
1908,AL,SLA,STL06,4/24/1908,10/6/1908,78,0,0
1908,NL,SLN,STL05,4/15/1908,10/3/1908,77,0,0
1908,AL,WS1,WAS08,4/22/1908,10/8/1908,78,0,0
1909,AL,BOS,BOS06,4/21/1909,10/2/1909,75,0,0
1909,NL,BRO,NYC12,4/22/1909,10/7/1909,79,0,0
1909,NL,BSN,BOS05,4/14/1909,9/14/1909,76,0,0
1909,AL,CHA,CHI09,4/22/1909,10/3/1909,81,0,0
1909,NL,CHN,CHI08,4/14/1909,10/4/1909,77,0,0
1909,NL,CIN,CIN06,4/14/1909,10/5/1909,80,0,0
1909,AL,CLE,CLE05,4/22/1909,9/6/1909,77,0,0
1909,AL,DET,DET02,4/14/1909,10/2/1909,78,0,0
1909,NL,NY1,NYC10,4/15/1909,10/4/1909,77,0,0
1909,AL,NYA,NYC13,4/22/1909,10/1/1909,77,0,0
1909,AL,PHA,PHI11,4/12/1909,10/2/1909,76,0,0
1909,NL,PHI,PHI09,4/22/1909,10/7/1909,77,0,0
1909,NL,PIT,PIT05,4/22/1909,6/29/1909,25,0,0
1909,NL,PIT,PIT06,6/30/1909,9/30/1909,54,0,0
1909,AL,SLA,STL07,4/14/1909,10/3/1909,79,0,0
1909,NL,SLN,STL05,4/22/1909,10/6/1909,76,0,0
1909,AL,WS1,WAS08,4/12/1909,10/1/1909,77,0,0
1910,AL,BOS,BOS06,4/19/1910,9/13/1910,80,0,0
1910,NL,BRO,NYC12,4/20/1910,10/12/1910,80,0,0
1910,NL,BSN,BOS05,4/14/1910,10/8/1910,78,0,0
1910,AL,CHA,CHI09,4/14/1910,6/27/1910,28,0,0
1910,AL,CHA,CHI10,7/1/1910,10/9/1910,51,0,0
1910,NL,CHN,CHI08,4/21/1910,10/15/1910,77,0,0
1910,NL,CIN,CIN06,4/14/1910,10/9/1910,77,0,0
1910,AL,CLE,CLE06,4/21/1910,9/29/1910,80,0,0
1910,AL,DET,DET02,4/14/1910,10/5/1910,78,0,0
1910,NL,NY1,NYC10,4/20/1910,10/11/1910,79,0,0
1910,AL,NYA,NYC13,4/14/1910,10/8/1910,77,0,0
1910,AL,PHA,PHI11,4/20/1910,10/6/1910,78,0,0
1910,NL,PHI,PHI09,4/14/1910,9/29/1910,78,0,0
1910,NL,PIT,PIT06,4/21/1910,10/8/1910,76,0,0
1910,AL,SLA,STL07,4/21/1910,10/9/1910,79,0,0
1910,NL,SLN,STL05,4/14/1910,10/4/1910,76,0,0
1910,AL,WS1,WAS08,4/14/1910,10/6/1910,77,0,0
1911,AL,BOS,BOS06,4/21/1911,10/7/1911,76,16,93568
1911,NL,BRO,NYC12,4/21/1911,10/10/1911,74,0,0
1911,NL,BSN,BOS05,4/12/1911,9/14/1911,75,0,0
1911,AL,CHA,CHI10,4/20/1911,10/8/1911,78,15,178945
1911,NL,CHN,CHI08,4/12/1911,10/9/1911,84,0,0
1911,NL,CIN,CIN06,4/12/1911,10/12/1911,82,0,0
1911,AL,CLE,CLE06,4/20/1911,10/4/1911,77,3,11000
1911,AL,DET,DET02,4/13/1911,9/10/1911,76,53,345887
1911,NL,NY1,NYC10,4/12/1911,4/13/1911,2,0,0
1911,NL,NY1,NYC13,4/15/1911,5/30/1911,28,0,0
1911,NL,NY1,NYC14,6/28/1911,10/12/1911,45,0,0
1911,AL,NYA,NYC13,4/21/1911,10/4/1911,77,53,318000
1911,AL,PHA,PHI11,4/12/1911,10/6/1911,75,7,121000
1911,NL,PHI,PHI09,4/21/1911,10/9/1911,76,0,0
1911,NL,PIT,PIT06,4/20/1911,10/2/1911,78,0,0
1911,AL,SLA,STL07,4/12/1911,10/8/1911,78,6,21266
1911,NL,SLN,STL05,4/20/1911,10/5/1911,79,0,0
1911,AL,WS1,WAS09,4/12/1911,10/4/1911,77,6,29500
1912,AL,BOS,BOS07,4/20/1912,9/26/1912,78,64,665050
1912,NL,BRO,NYC12,4/11/1912,10/5/1912,76,61,199092
1912,NL,BSN,BOS05,4/11/1912,10/5/1912,79,58,195764
1912,AL,CHA,CHI10,4/11/1912,9/29/1912,78,53,478900
1912,NL,CHN,CHI08,4/20/1912,10/6/1912,78,58,545180
1912,NL,CIN,CIN07,4/11/1912,10/6/1912,77,56,327800
1912,AL,CLE,CLE06,4/11/1912,9/29/1912,77,64,314349
1912,AL,DET,DET04,4/20/1912,10/6/1912,76,72,404801
1912,NL,NY1,NYC14,4/19/1912,10/2/1912,76,64,694500
1912,AL,NYA,NYC13,4/11/1912,10/5/1912,73,62,307816
1912,AL,NYA,NYC14,5/30/1912,9/2/1912,3,2,26000
1912,AL,PHA,PHI11,4/11/1912,10/5/1912,77,61,575200
1912,NL,PHI,PHI09,4/19/1912,9/21/1912,75,51,340009
1912,NL,PIT,PIT06,4/18/1912,9/28/1912,75,50,444700
1912,AL,SLA,STL07,4/18/1912,10/6/1912,79,57,240162
1912,NL,SLN,STL05,4/11/1912,10/1/1912,77,56,236910
1912,AL,WS1,WAS09,4/19/1912,10/1/1912,78,65,360268
1913,AL,BOS,BOS07,4/10/1913,9/27/1913,75,64,476100
1913,NL,BRO,NYC15,4/9/1913,9/27/1913,77,1,10000
1913,NL,BSN,BOS05,4/17/1913,10/3/1913,73,0,0
1913,NL,BSN,BOS07,4/19/1913,5/30/1913,4,0,0
1913,AL,CHA,CHI10,4/17/1913,9/28/1913,77,1,25000
1913,NL,CHN,CHI08,4/12/1913,10/5/1913,76,1,4000
1913,NL,CIN,CIN07,4/12/1913,9/28/1913,78,1,20000
1913,AL,CLE,CLE06,4/11/1913,10/5/1913,80,69,570313
1913,AL,DET,DET04,4/17/1913,10/5/1913,76,66,395152
1913,NL,NY1,NYC14,4/10/1913,10/4/1913,81,0,0
1913,AL,NYA,NYC14,4/17/1913,9/30/1913,75,67,342300
1913,AL,PHA,PHI11,4/17/1913,10/4/1913,76,69,566500
1913,NL,PHI,PHI09,4/10/1913,9/30/1913,78,0,0
1913,NL,PIT,PIT06,4/17/1913,9/26/1913,79,1,20000
1913,AL,SLA,STL07,4/10/1913,9/7/1913,77,73,376500
1913,NL,SLN,STL05,4/17/1913,10/5/1913,74,0,0
1913,AL,WS1,WAS09,4/10/1913,10/4/1913,78,67,369314
1914,FL,BLF,BAL10,4/13/1914,10/10/1914,83,29,137492
1914,AL,BOS,BOS07,4/14/1914,10/7/1914,79,11,105823
1914,FL,BRF,NYC19,5/11/1914,10/3/1914,80,21,73300
1914,NL,BRO,NYC15,4/14/1914,10/6/1914,79,51,298500
1914,NL,BSN,BOS05,4/23/1914,8/11/1914,50,38,223900
1914,NL,BSN,BOS07,8/1/1914,9/29/1914,29,20,248562
1914,FL,BUF,BUF04,5/11/1914,10/7/1914,79,48,137298
1914,AL,CHA,CHI10,4/14/1914,10/4/1914,81,39,359300
1914,FL,CHF,CHI11,4/23/1914,10/8/1914,77,9,54700
1914,NL,CHN,CHI08,4/22/1914,9/14/1914,76,38,273900
1914,NL,CIN,CIN07,4/14/1914,10/5/1914,77,21,141800
1914,AL,CLE,CLE06,4/22/1914,9/30/1914,79,66,228866
1914,AL,DET,DET04,4/14/1914,10/4/1914,78,63,376708
1914,FL,IND,IND07,4/23/1914,10/8/1914,80,17,51150
1914,FL,KCF,KAN04,4/16/1914,9/6/1914,74,26,52877
1914,NL,NY1,NYC14,4/23/1914,10/6/1914,80,62,559300
1914,AL,NYA,NYC14,4/14/1914,9/15/1914,78,70,508800
1914,AL,PHA,PHI11,4/23/1914,10/7/1914,78,60,372300
1914,NL,PHI,PHI09,4/14/1914,10/1/1914,78,23,116000
1914,NL,PIT,PIT06,4/23/1914,10/3/1914,77,11,79500
1914,FL,PTF,PIT05,4/14/1914,10/10/1914,75,42,131750
1914,AL,SLA,STL07,4/22/1914,10/1/1914,81,66,344700
1914,FL,SLF,STL08,4/16/1914,9/4/1914,76,7,27900
1914,NL,SLN,STL05,4/14/1914,10/5/1914,79,16,106500
1914,AL,WS1,WAS09,4/23/1914,10/1/1914,77,66,274715
1915,FL,BLF,BAL10,4/10/1915,10/2/1915,75,4,25391
1915,AL,BOS,BOS07,4/22/1915,9/27/1915,76,33,366173
1915,FL,BRF,NYC19,4/10/1915,9/30/1915,74,11,29500
1915,NL,BRO,NYC15,4/22/1915,9/28/1915,78,9,69800
1915,NL,BSN,BOS07,4/14/1915,7/26/1915,52,33,179273
1915,NL,BSN,BOS08,8/18/1915,10/7/1915,26,19,201800
1915,FL,BUF,BUF04,4/17/1915,9/8/1915,77,9,37816
1915,AL,CHA,CHI10,4/22/1915,10/3/1915,79,71,660650
1915,FL,CHF,CHI11,4/10/1915,10/3/1915,78,17,113612
1915,NL,CHN,CHI08,4/14/1915,10/3/1915,77,59,344750
1915,NL,CIN,CIN07,4/14/1915,10/3/1915,79,61,250300
1915,AL,CLE,CLE06,4/22/1915,9/29/1915,77,65,203409
1915,AL,DET,DET04,4/14/1915,10/3/1915,77,5,30252
1915,FL,KCF,KAN04,4/10/1915,9/28/1915,77,7,50350
1915,FL,NEW,HAR01,4/16/1915,10/3/1915,79,12,130532
1915,NL,NY1,NYC14,4/14/1915,9/30/1915,76,11,96800
1915,AL,NYA,NYC14,4/22/1915,10/7/1915,82,19,130791
1915,AL,PHA,PHI11,4/14/1915,9/27/1915,74,4,16500
1915,NL,PHI,PHI09,4/22/1915,10/6/1915,76,55,507000
1915,NL,PIT,PIT06,4/22/1915,9/25/1915,79,15,85000
1915,FL,PTF,PIT05,4/17/1915,10/2/1915,77,1,6000
1915,AL,SLA,STL07,4/14/1915,9/5/1915,76,62,233850
1915,FL,SLF,STL08,4/17/1915,10/3/1915,82,4,17700
1915,NL,SLN,STL05,4/22/1915,10/2/1915,81,4,31200
1915,AL,WS1,WAS09,4/14/1915,10/6/1915,80,1,15556
1916,AL,BOS,BOS07,4/12/1916,10/2/1916,76,0,0
1916,AL,BOS,BOS08,10/3/1916,10/3/1916,2,0,0
1916,NL,BRO,NYC15,4/12/1916,10/5/1916,78,28,284000
1916,NL,BSN,BOS08,4/20/1916,9/27/1916,78,2,26000
1916,AL,CHA,CHI10,4/12/1916,9/25/1916,77,0,0
1916,NL,CHN,CHI11,4/20/1916,10/1/1916,79,4,74000
1916,NL,CIN,CIN07,4/12/1916,10/1/1916,76,2,8500
1916,AL,CLE,CLE06,4/12/1916,10/1/1916,78,0,0
1916,AL,DET,DET04,4/20/1916,9/25/1916,77,1,15000
1916,NL,NY1,NYC14,4/20/1916,9/30/1916,78,21,326000
1916,AL,NYA,NYC14,4/12/1916,10/4/1916,79,0,0
1916,AL,PHA,PHI11,4/20/1916,9/30/1916,76,0,0
1916,NL,PHI,PHI09,4/12/1916,10/5/1916,79,10,99500
1916,NL,PIT,PIT06,4/20/1916,9/30/1916,78,17,86000
1916,AL,SLA,STL07,4/21/1916,10/1/1916,79,0,0
1916,NL,SLN,STL05,4/12/1916,9/10/1916,76,3,24500
1916,AL,WS1,WAS09,4/20/1916,9/12/1916,81,0,0
1917,AL,BOS,BOS07,4/21/1917,10/4/1917,80,52,402985
1917,NL,BRO,NYC15,4/11/1917,10/4/1917,78,15,110500
1917,NL,BSN,BOS08,4/12/1917,9/15/1917,77,1,2500
1917,AL,CHA,CHI10,4/19/1917,9/16/1917,79,64,741000
1917,NL,CHN,CHI11,4/11/1917,9/30/1917,77,60,352550
1917,NL,CIN,CIN07,4/11/1917,9/30/1917,80,1,10000
1917,AL,CLE,CLE06,4/19/1917,9/30/1917,78,13,114671
1917,AL,DET,DET04,4/11/1917,9/16/1917,76,61,386137
1917,NL,NY1,NYC14,4/20/1917,9/12/1917,80,0,0
1917,AL,NYA,NYC14,4/11/1917,10/3/1917,75,55,421600
1917,AL,PHA,PHI11,4/11/1917,9/29/1917,76,57,223050
1917,NL,PHI,PHI09,4/20/1917,10/3/1917,76,2,11173
1917,NL,PIT,PIT06,4/19/1917,10/1/1917,79,0,0
1917,AL,SLA,STL07,4/11/1917,9/15/1917,78,60,278150
1917,NL,SLN,STL05,4/19/1917,9/30/1917,78,54,324600
1917,AL,WS1,WAS09,4/20/1917,9/29/1917,80,61,145386
1918,AL,BOS,BOS07,4/15/1918,8/31/1918,70,3,26000
1918,NL,BRO,NYC15,4/24/1918,8/28/1918,54,1,5000
